Libyan+protests, 2011-02-15, Libya
2011+Syrian+protests, 2011-01-28, Syria
President+ Zine+Tunisia, 2011-01-14, Tunisia
Hosni+Mubarak, 2011-02-11, Egypt
egyptian+protest, 2011-01-25, Egypt
libyan+oil+price, 2011-01-22, Libya
Japan+tsunami+OR+earthquake, 2011-03-11, Sendai Japan
Fukushima+nuclear, 2011-03-11, Japan
Libya+no-fly+zone, 2011-03-17, Libya
Libya+UNSCR, 2011-03-19, Libya
south+sudan, 2011-07-09, Sudan
california+solar+power+plant, 2011-03-11, California
Burj+Khalifa, 2010-01-04, Dubai
Togo+football, 2010-01-08, Angola
Haiti+earthquake, 2010-01-12, Haiti
solar+eclipse, 2010-01-15,Sweden
ethiopian+plane+crash, 2010-01-25, Beirut
chile+earthquake, 2010-02-27, Chile
Kyrgyz+president+OR+Bakiyev, 2010-04-07, Kyrgyzstan
Lech+Kaczynski+OR+President+Poland+dies OR airplane+crash, 2010-04-07, Poland
kasubi+tombs, 2010-03-16, Uganda
China+earthquake, 2010-04-13, China
Eyjafjallajokull+OR+Iceland+volcanic+ash, 2010-04-14, Iceland
Deepwater+Horizon+OR+oil+spill, 2010-04-20, Gulf of Mexico
Greece+credit, 2010-04-27, Greece
Greece+bailout+OR+Eurozone+OR+IMF, 2010-05-02, Greece
Picasso+OR+Christie's+OR+106.5, 2010-05-04, New York
Neanderthal+genome, 2010-05-07, Germany
plane+crash+libya, 2010-05-12, Libya
Bangkok+protest, 2010-05-19, Thailand
air+india+OR+plane+crash, 2010-05-22, india
gaza+flotilla, 2010-05-31, Israel
riots+kyrgyzstan+OR+kyrgyz+OR+Uzbeks, 2010-06-09, Kyrgyzstan
world+cup+OR+FIFA+Spain, 2010-07-11, South Africa
solar+powered+plane, 2010-07-08, Switzerland
wikileaks, 2010-07-25, United States
Monsoon+Pakistan, 2010-07-29, Pakistan
H1N1+pandemic+over, 2010-08-10,United States
landslide+Oaxaca, 2010-09-28, Mexico
netherlands+antilles, 2010-10-10, Netherlands
